F,n,x0,force_x,force_y,abs(force),max_height
0.05,0,0.1,13.9141,-0.36932,13.919,4.06241
0.1,0,0.1,8.37104,-0.285712,8.37591,3.12497
0.25,0,0.1,4.47103,-0.204053,4.47568,2.2514
0.5,0,0.1,2.92584,-0.160842,2.93025,1.79939
1,0,0.1,2.03357,-0.131194,2.0378,1.48242
0.05,0.1,0.1,12.1313,-0.810702,12.1583,3.87032
0.1,0.1,0.1,7.52646,-0.534504,7.54541,3.00631
0.25,0.1,0.1,4.15148,-0.317407,4.16359,2.19095
0.5,0.1,0.1,2.76721,-0.222928,2.77618,1.76348
1,0.1,0.1,1.95218,-0.165296,1.95916,1.46121
0.05,0.2,0.1,11.6898,-0.984299,11.7312,3.75253
0.1,0.2,0.1,7.36194,-0.632539,7.38907,2.94383
0.25,0.2,0.1,4.10335,-0.361428,4.11923,2.16483
0.5,0.2,0.1,2.74549,-0.246654,2.75655,1.74984
1,0.2,0.1,1.94114,-0.178131,1.9493,1.45388
0.05,0.3,0.1,11.6566,-1.09533,11.7079,3.66973
0.1,0.3,0.1,7.37554,-0.694094,7.40813,2.90425
0.25,0.3,0.1,4.11444,-0.388461,4.13274,2.15016
0.5,0.3,0.1,2.75044,-0.26102,2.7628,1.74259
1,0.3,0.1,1.94272,-0.185817,1.95158,1.45005
0.05,0.4,0.1,11.7959,-1.17067,11.8538,3.66643
0.1,0.4,0.1,7.45714,-0.735053,7.49328,2.9138
0.25,0.4,0.1,4.14543,-0.406056,4.16527,2.15724
0.5,0.4,0.1,2.76376,-0.270259,2.77695,1.74643
1,0.4,0.1,1.94811,-0.19072,1.95742,1.45177
0.05,0.5,0.1,12.0192,-1.22375,12.0813,3.73319
0.1,0.5,0.1,7.56768,-0.763114,7.60606,2.95061
0.25,0.5,0.1,4.1837,-0.417789,4.20451,2.17295
0.5,0.5,0.1,2.77997,-0.276343,2.79367,1.75411
1,0.5,0.1,1.95481,-0.193924,1.9644,1.45531
0.05,0.6,0.1,12.2716,-1.261,12.3362,3.79929
0.1,0.6,0.1,7.68512,-0.782184,7.72482,2.98678
0.25,0.6,0.1,4.2227,-0.425517,4.24409,2.1879
0.5,0.6,0.1,2.79631,-0.280294,2.81032,1.76133
1,0.6,0.1,1.96158,-0.19599,1.97134,1.45867
0.05,0.7,0.1,12.5292,-1.28707,12.5951,3.8576
0.1,0.7,0.1,7.80065,-0.794964,7.84105,3.01882
0.25,0.7,0.1,4.26014,-0.430484,4.28184,2.20123
0.5,0.7,0.1,2.8119,-0.282787,2.82609,1.7679
1,0.7,0.1,1.96805,-0.19728,1.97791,1.46187
0.05,0.8,0.1,12.7781,-1.3048,12.8446,3.90854
0.1,0.8,0.1,7.90943,-0.803132,7.9501,3.04622
0.25,0.8,0.1,4.2948,-0.433463,4.31661,2.21265
0.5,0.8,0.1,2.82627,-0.28424,2.84052,1.77364
1,0.8,0.1,1.97401,-0.19802,1.98391,1.46459
0.05,0.9,0.1,13.0112,-1.31613,13.0776,3.9523
0.1,0.9,0.1,8.00903,-0.807823,8.04967,3.06939
0.25,0.9,0.1,4.32607,-0.434973,4.34788,2.22255
0.5,0.9,0.1,2.83916,-0.28493,2.85342,1.7786
1,0.9,0.1,1.97934,-0.198359,1.98925,1.46698
0.05,1,0.1,13.2317,-1.32317,13.2977,3.99025
0.1,1,0.1,8.10201,-0.810201,8.14242,3.08999
0.25,1,0.1,4.35501,-0.435501,4.37673,2.23105
0.5,1,0.1,2.85108,-0.285108,2.8653,1.78282
1,1,0.1,1.98427,-0.198427,1.99417,1.46901
0.05,1.1,0.1,13.4287,-1.326,13.494,4.0223
0.1,1.1,0.1,8.18436,-0.810484,8.2244,3.10714
0.25,1.1,0.1,4.38052,-0.435204,4.40209,2.23831
0.5,1.1,0.1,2.86157,-0.284871,2.87572,1.78645
1,1.1,0.1,1.98861,-0.198282,1.99847,1.47076
0.05,1.2,0.1,13.611,-1.32626,13.6754,4.0516
0.1,1.2,0.1,8.25923,-0.809401,8.29879,3.1224
0.25,1.2,0.1,4.40344,-0.434346,4.42481,2.24439
0.5,1.2,0.1,2.87094,-0.284346,2.88499,1.78945
1,1.2,0.1,1.99247,-0.197985,2.00228,1.47223
0.05,1.3,0.1,13.7748,-1.32417,13.8383,4.07606
0.1,1.3,0.1,8.32537,-0.807108,8.3644,3.13496
0.25,1.3,0.1,4.42343,-0.433011,4.44457,2.24974
0.5,1.3,0.1,2.87905,-0.283582,2.89298,1.79216
1,1.3,0.1,1.99577,-0.197566,2.00552,1.47351
0.05,1.4,0.1,13.9315,-1.32115,13.994,4.09856
0.1,1.4,0.1,8.38847,-0.804383,8.42695,3.14647
0.25,1.4,0.1,4.44255,-0.431511,4.46346,2.25459
0.5,1.4,0.1,2.88686,-0.282735,2.90067,1.79459
1,1.4,0.1,1.99898,-0.197102,2.00868,1.47467
0.05,1.5,0.1,14.0792,-1.31733,14.1407,4.11837
0.1,1.5,0.1,8.44749,-0.801277,8.4854,3.15689
0.25,1.5,0.1,4.46037,-0.429868,4.48104,2.25877
0.5,1.5,0.1,2.89413,-0.281817,2.90782,1.79664
1,1.5,0.1,2.00198,-0.196603,2.01161,1.47563
0.05,1.6,0.1,14.2179,-1.31284,14.2784,4.13761
0.1,1.6,0.1,8.50269,-0.797894,8.54005,3.16665
0.25,1.6,0.1,4.47699,-0.428133,4.49742,2.26264
0.5,1.6,0.1,2.90092,-0.280856,2.91448,1.79853
1,1.6,0.1,2.00479,-0.196082,2.01435,1.47653
0.05,1.7,0.1,14.3458,-1.30785,14.4053,4.15513
0.1,1.7,0.1,8.55314,-0.794305,8.58994,3.17533
0.25,1.7,0.1,4.49212,-0.426339,4.51231,2.26597
0.5,1.7,0.1,2.90709,-0.279871,2.92053,1.8002
1,1.7,0.1,2.00733,-0.195551,2.01684,1.47733
0.05,1.8,0.1,14.4624,-1.30289,14.521,4.16903
0.1,1.8,0.1,8.59859,-0.790755,8.63487,3.18258
0.25,1.8,0.1,4.50561,-0.424564,4.52556,2.2691
0.5,1.8,0.1,2.91254,-0.278895,2.92586,1.80168
1,1.8,0.1,2.00955,-0.195022,2.01899,1.47804
0.05,1.9,0.1,14.5603,-1.29748,14.618,4.17982
0.1,1.9,0.1,8.6372,-0.787151,8.673,3.18847
0.25,1.9,0.1,4.51715,-0.42281,4.53689,2.27195
0.5,1.9,0.1,2.9172,-0.277936,2.93041,1.80311
1,1.9,0.1,2.01144,-0.194503,2.02082,1.47865
0.05,2,0.1,14.6518,-1.29178,14.7086,4.19126
0.1,2,0.1,8.67223,-0.78339,8.70754,3.19397
0.25,2,0.1,4.52739,-0.421012,4.54693,2.27395
0.5,2,0.1,2.92128,-0.27696,2.93438,1.80412
1,2,0.1,2.01307,-0.193978,2.02239,1.47912
0.05,2.1,0.1,14.7484,-1.28885,14.8046,4.20213
0.1,2.1,0.1,8.70994,-0.780958,8.74488,3.19918
0.25,2.1,0.1,4.53872,-0.419708,4.55808,2.27591
0.5,2.1,0.1,2.92594,-0.276224,2.93895,1.80512
1,2.1,0.1,2.015,-0.193573,2.02428,1.47967
0.05,2.2,0.1,14.8344,-1.28358,14.8898,4.21188
0.1,2.2,0.1,8.74236,-0.777426,8.77686,3.20378
0.25,2.2,0.1,4.54808,-0.418009,4.56725,2.2778
0.5,2.2,0.1,2.92965,-0.2753,2.94256,1.80603
1,2.2,0.1,2.01648,-0.193077,2.0257,1.48007
0.05,2.3,0.1,14.921,-1.27947,14.9758,4.22167
0.1,2.3,0.1,8.77486,-0.774467,8.80897,3.20836
0.25,2.3,0.1,4.55754,-0.416546,4.57654,2.27952
0.5,2.3,0.1,2.93345,-0.274498,2.94626,1.80685
1,2.3,0.1,2.01802,-0.192642,2.02719,1.48044
0.05,2.4,0.1,15.0005,-1.27515,15.0546,4.23084
0.1,2.4,0.1,8.8052,-0.771573,8.83894,3.21267
0.25,2.4,0.1,4.56644,-0.415146,4.58527,2.28118
0.5,2.4,0.1,2.93704,-0.273736,2.94976,1.80764
1,2.4,0.1,2.01948,-0.192233,2.02861,1.4808
0.05,2.5,0.1,15.0721,-1.27049,15.1256,4.23927
0.1,2.5,0.1,8.8319,-0.768481,8.86527,3.21654
0.25,2.5,0.1,4.5741,-0.413668,4.59277,2.28262
0.5,2.5,0.1,2.94007,-0.272936,2.95271,1.80831
1,2.5,0.1,2.02069,-0.191803,2.02978,1.4811
0.05,2.6,0.1,15.1494,-1.26734,15.2023,4.24826
0.1,2.6,0.1,8.86128,-0.766193,8.89434,3.22074
0.25,2.6,0.1,4.58271,-0.412513,4.60124,2.28423
0.5,2.6,0.1,2.94356,-0.272297,2.95613,1.80908
1,2.6,0.1,2.02213,-0.191456,2.03117,1.48145
0.05,2.7,0.1,15.2215,-1.26381,15.2738,4.256
0.1,2.7,0.1,8.88824,-0.76372,8.92099,3.22439
0.25,2.7,0.1,4.5905,-0.411294,4.60889,2.28575
0.5,2.7,0.1,2.94669,-0.27163,2.95918,1.8098
1,2.7,0.1,2.0234,-0.191096,2.03241,1.48177
0.05,2.8,0.1,15.2928,-1.26098,15.3447,4.26429
0.1,2.8,0.1,8.91484,-0.761602,8.94732,3.22858
0.25,2.8,0.1,4.59829,-0.410234,4.61655,2.28735
0.5,2.8,0.1,2.94985,-0.271047,2.96228,1.81057
