F,n,x0,force_x,force_y,abs(force),max_height
0.5,1.9,0.1,4.10337,-0.424091,4.12522,2.13129
1,1.9,0.1,2.70945,-0.279724,2.72385,1.72059
0.05,2,0.1,18.9695,-1.84867,19.0594,4.65881
0.1,2,0.1,11.951,-1.2041,12.0115,3.6758
0.25,2,0.1,6.44515,-0.663718,6.47923,2.68472
0.5,2,0.1,4.10967,-0.425426,4.13163,2.13366
1,2,0.1,2.71205,-0.280474,2.72652,1.7217
0.05,2.1,0.1,19.0789,-1.85375,19.1687,4.6739
0.1,2.1,0.1,11.9968,-1.20801,12.0574,3.68399
0.25,2.1,0.1,6.45939,-0.665894,6.49362,2.68855
0.5,2.1,0.1,4.1155,-0.42669,4.13756,2.13603
1,2.1,0.1,2.71443,-0.281177,2.72895,1.72277
0.05,2.2,0.1,19.1797,-1.85629,19.2693,4.6893
0.1,2.2,0.1,12.0393,-1.21074,12.1,3.69206
0.25,2.2,0.1,6.4727,-0.667643,6.50704,2.69241
0.5,2.2,0.1,4.12098,-0.427755,4.14312,2.13786
1,2.2,0.1,2.71669,-0.281785,2.73126,1.72382
0.05,2.3,0.1,19.2798,-1.85904,19.3692,4.7023
0.1,2.3,0.1,12.0822,-1.21352,12.143,3.69947
0.25,2.3,0.1,6.48635,-0.669362,6.5208,2.69626
0.5,2.3,0.1,4.12669,-0.428789,4.14891,2.13972
1,2.3,0.1,2.71909,-0.282372,2.73371,1.72496
0.05,2.4,0.1,19.3714,-1.86111,19.4606,4.71523
0.1,2.4,0.1,12.1211,-1.2159,12.1819,3.70651
0.25,2.4,0.1,6.49846,-0.670873,6.533,2.69977
0.5,2.4,0.1,4.13165,-0.429704,4.15393,2.14143
1,2.4,0.1,2.72112,-0.282894,2.73578,1.72591
0.05,2.5,0.1,19.4605,-1.86316,19.5495,4.72841
0.1,2.5,0.1,12.1585,-1.21813,12.2194,3.71343
0.25,2.5,0.1,6.51008,-0.672285,6.5447,2.70292
0.5,2.5,0.1,4.13641,-0.43056,4.15876,2.14316
1,2.5,0.1,2.72307,-0.283381,2.73778,1.72677
0.05,2.6,0.1,19.5443,-1.86442,19.633,4.73993
0.1,2.6,0.1,12.1943,-1.22001,12.2552,3.72026
0.25,2.6,0.1,6.52121,-0.673544,6.5559,2.70639
0.5,2.6,0.1,4.14099,-0.431335,4.16339,2.14493
1,2.6,0.1,2.72496,-0.283826,2.7397,1.7276
0.05,2.7,0.1,19.6262,-1.86558,19.7147,4.74951
0.1,2.7,0.1,12.2283,-1.22165,12.2892,3.72714
0.25,2.7,0.1,6.53173,-0.674684,6.56649,2.70982
0.5,2.7,0.1,4.1453,-0.432044,4.16775,2.14668
1,2.7,0.1,2.72673,-0.284236,2.74151,1.72847
0.05,2.8,0.1,19.7019,-1.86626,19.7901,4.75874
0.1,2.8,0.1,12.2598,-1.22305,12.3207,3.73408
0.25,2.8,0.1,6.5415,-0.67571,6.5763,2.7123
0.5,2.8,0.1,4.1493,-0.432691,4.1718,2.14811
1,2.8,0.1,2.72838,-0.284612,2.74318,1.72925
0.05,2.9,0.1,19.776,-1.86711,19.8639,4.76794
0.1,2.9,0.1,12.2911,-1.2245,12.3519,3.74083
0.25,2.9,0.1,6.55115,-0.676714,6.58601,2.71472
0.5,2.9,0.1,4.15325,-0.433316,4.1758,2.14953
1,2.9,0.1,2.73,-0.284973,2.74484,1.73005
0.05,3,0.1,19.8494,-1.86814,19.9371,4.77747
0.1,3,0.1,12.3216,-1.22591,12.3824,3.746
0.25,3,0.1,6.56054,-0.677673,6.59545,2.71712
0.5,3,0.1,4.15709,-0.433908,4.17967,2.15117
1,3,0.1,2.73158,-0.285313,2.74644,1.73088
0.05,3.1,0.1,19.9238,-1.86716,20.0111,4.78584
0.1,3.1,0.1,12.3525,-1.22638,12.4132,3.75093
0.25,3.1,0.1,6.57014,-0.678312,6.60506,2.71955
0.5,3.1,0.1,4.16105,-0.434361,4.18366,2.15278
1,3.1,0.1,2.73323,-0.285593,2.74811,1.7315
0.05,3.2,0.1,19.992,-1.86789,20.0791,4.79401
0.1,3.2,0.1,12.3805,-1.22752,12.4412,3.75651
0.25,3.2,0.1,6.57871,-0.679124,6.61367,2.72189
0.5,3.2,0.1,4.16453,-0.434869,4.18718,2.15395
1,3.2,0.1,2.73465,-0.285887,2.74955,1.73218
0.05,3.3,0.1,20.0557,-1.86803,20.1425,4.80187
0.1,3.3,0.1,12.407,-1.22843,12.4677,3.76179
0.25,3.3,0.1,6.5868,-0.679837,6.62179,2.72427
0.5,3.3,0.1,4.16782,-0.435327,4.19049,2.15506
1,3.3,0.1,2.73598,-0.286156,2.75091,1.73282
0.05,3.4,0.1,20.1171,-1.86798,20.2037,4.80966
