F,n,x0,force_x,force_y,abs(force),max_height
0.1,2.1,0.1,25.9184,-1.07172,25.9405,3.90255
0.25,2.1,0.1,13.6096,-0.575274,13.6218,2.80514
0.5,2.1,0.1,8.57812,-0.370491,8.58611,2.20683
1,2.1,0.1,5.61115,-0.248337,5.61664,1.76568
0.05,2.2,0.1,42.6069,-1.69742,42.6407,5.01746
0.1,2.2,0.1,25.9276,-1.04788,25.9488,3.90115
0.25,2.2,0.1,13.6127,-0.564655,13.6244,2.80423
0.5,2.2,0.1,8.58034,-0.364811,8.58809,2.20642
1,2.2,0.1,5.61273,-0.245304,5.61809,1.76554
0.05,2.3,0.1,42.6651,-1.65715,42.6973,5.03172
0.1,2.3,0.1,25.948,-1.02541,25.9683,3.90819
0.25,2.3,0.1,13.6195,-0.554606,13.6307,2.80689
0.5,2.3,0.1,8.58405,-0.359423,8.59157,2.20779
1,2.3,0.1,5.61492,-0.242422,5.62015,1.76631
0.05,2.4,0.1,42.7259,-1.61821,42.7565,5.04501
0.1,2.4,0.1,25.9695,-1.00375,25.9889,3.91479
0.25,2.4,0.1,13.6263,-0.544943,13.6372,2.80958
0.5,2.4,0.1,8.58768,-0.354245,8.59499,2.20921
1,2.4,0.1,5.61701,-0.239655,5.62212,1.76708
0.05,2.5,0.1,42.8064,-1.58204,42.8357,5.05789
0.1,2.5,0.1,26.0003,-0.983544,26.0189,3.92138
0.25,2.5,0.1,13.6364,-0.535879,13.6469,2.8123
0.5,2.5,0.1,8.59271,-0.349379,8.59981,2.21066
1,2.5,0.1,5.61971,-0.237051,5.62471,1.76787
0.05,2.6,0.1,42.8829,-1.54706,42.9108,5.06975
0.1,2.6,0.1,26.0292,-0.964081,26.0471,3.92744
0.25,2.6,0.1,13.6456,-0.527183,13.6558,2.8148
0.5,2.6,0.1,8.59726,-0.344714,8.60417,2.21198
1,2.6,0.1,5.62212,-0.234555,5.62701,1.76859
0.05,2.7,0.1,42.9678,-1.51409,42.9944,5.08106
0.1,2.7,0.1,26.0619,-0.945707,26.079,3.93325
0.25,2.7,0.1,13.6561,-0.518962,13.666,2.81722
0.5,2.7,0.1,8.60228,-0.340302,8.60901,2.21326
1,2.7,0.1,5.62471,-0.232193,5.6295,1.76928
0.05,2.8,0.1,43.0518,-1.47967,43.0772,5.09159
0.1,2.8,0.1,26.0918,-0.926359,26.1083,3.93864
0.25,2.8,0.1,13.6639,-0.510219,13.6734,2.81936
0.5,2.8,0.1,8.60533,-0.335577,8.61187,2.21433
1,2.8,0.1,5.626,-0.229647,5.63068,1.76982
0.05,2.9,0.1,43.1444,-1.45033,43.1688,5.10178
0.1,2.9,0.1,26.1289,-0.909989,26.1447,3.94391
0.25,2.9,0.1,13.676,-0.502881,13.6852,2.8216
0.5,2.9,0.1,8.61109,-0.331633,8.61748,2.21553
1,2.9,0.1,5.6289,-0.227533,5.6335,1.77047
0.05,3,0.1,43.2364,-1.42286,43.2599,5.11117
0.1,3,0.1,26.1668,-0.894662,26.182,3.94884
0.25,3,0.1,13.6889,-0.496006,13.6978,2.82373
0.5,3,0.1,8.6173,-0.327936,8.62354,2.21669
1,3,0.1,5.63203,-0.225549,5.63654,1.77111
0.05,3.1,0.1,43.3295,-1.39673,43.352,5.12011
0.1,3.1,0.1,26.2047,-0.880071,26.2195,3.95353
0.25,3.1,0.1,13.7015,-0.489459,13.7102,2.82575
0.5,3.1,0.1,8.6233,-0.324414,8.6294,2.21778
1,3.1,0.1,5.63501,-0.22366,5.63945,1.77171
0.05,3.2,0.1,43.4204,-1.37067,43.442,5.12852
0.1,3.2,0.1,26.2407,-0.8655,26.2549,3.9579
0.25,3.2,0.1,13.7127,-0.482906,13.7212,2.8276
0.5,3.2,0.1,8.62828,-0.320881,8.63425,2.21875
1,3.2,0.1,5.63739,-0.221761,5.64175,1.77222
0.05,3.3,0.1,43.5135,-1.34695,43.5344,5.13643
0.1,3.3,0.1,26.2787,-0.852197,26.2926,3.96209
0.25,3.3,0.1,13.725,-0.476906,13.7333,2.82941
0.5,3.3,0.1,8.63402,-0.317644,8.63986,2.21973
1,3.3,0.1,5.64015,-0.220018,5.64444,1.77275
0.05,3.4,0.1,43.6071,-1.32475,43.6272,5.14393
0.1,3.4,0.1,26.3178,-0.83973,26.3312,3.96611
0.25,3.4,0.1,13.7383,-0.471282,13.7463,2.83118
0.5,3.4,0.1,8.64023,-0.314607,8.64596,2.2207
1,3.4,0.1,5.64322,-0.218384,5.64745,1.77329
0.05,3.5,0.1,43.6988,-1.30367,43.7182,5.15101
0.1,3.5,0.1,26.3561,-0.827918,26.3691,3.96991
0.25,3.5,0.1,13.751,-0.465958,13.7589,2.83284
0.5,3.5,0.1,8.64619,-0.311734,8.65181,2.22161
1,3.5,0.1,5.64611,-0.216837,5.65027,1.77379
0.05,3.6,0.1,43.7964,-1.28405,43.8152,5.15791
0.1,3.6,0.1,26.3966,-0.816833,26.4093,3.97363
0.25,3.6,0.1,13.7645,-0.460937,13.7722,2.83449
0.5,3.6,0.1,8.6524,-0.309019,8.65792,2.22251
1,3.6,0.1,5.64913,-0.215375,5.65323,1.77429
0.05,3.7,0.1,43.8881,-1.26499,43.9064,5.16441
0.1,3.7,0.1,26.4348,-0.80617,26.4471,3.97712
0.25,3.7,0.1,13.7771,-0.456137,13.7846,2.83603
0.5,3.7,0.1,8.65826,-0.306431,8.66368,2.22335
1,3.7,0.1,5.65195,-0.213983,5.656,1.77475
0.05,3.8,0.1,43.9684,-1.24657,43.9861,5.17017
0.1,3.8,0.1,26.4684,-0.795898,26.4804,3.98024
0.25,3.8,0.1,13.7883,-0.451527,13.7957,2.83741
0.5,3.8,0.1,8.66355,-0.303948,8.66888,2.22412
1,3.8,0.1,5.65451,-0.212647,5.65851,1.77517
0.05,3.9,0.1,44.0481,-1.22898,44.0652,5.17565
0.1,3.9,0.1,26.5021,-0.786108,26.5137,3.98323
0.25,3.9,0.1,13.7997,-0.447137,13.807,2.83874
0.5,3.9,0.1,8.66884,-0.301583,8.67409,2.22485
1,3.9,0.1,5.65709,-0.211375,5.66104,1.77558
0.05,4,0.1,44.1237,-1.2118,44.1403,5.18084
0.1,4,0.1,26.5332,-0.776555,26.5445,3.98603
0.25,4,0.1,13.8099,-0.442859,13.817,2.83997
0.5,4,0.1,8.6735,-0.299278,8.67866,2.22551
1,4,0.1,5.65931,-0.210135,5.66321,1.77594
0.05,0.4,0.2,64.5648,-4.27147,64.7059,6.27705
0.1,0.4,0.2,34.7894,-2.50564,34.8795,4.55343
0.25,0.4,0.2,16.2548,-1.26848,16.3042,3.06835
0.5,0.4,0.2,9.66312,-0.796115,9.69586,2.3395
1,0.4,0.2,6.07313,-0.525776,6.09585,1.8332
0.05,0.5,0.2,59.3624,-4.35185,59.5217,6.05103
0.1,0.5,0.2,33.0301,-2.58944,33.1315,4.46031
0.25,0.5,0.2,15.8101,-1.32134,15.8652,3.04076
0.5,0.5,0.2,9.49417,-0.82721,9.53014,2.32807
1,0.5,0.2,6.006,-0.542936,6.03049,1.82829
0.05,0.6,0.2,54.4987,-4.40429,54.6764,5.82769
