F,n,x0,force_x,force_y,abs(force),max_height
0.1,1.7,0.1,28.4392,-1.31544,28.4696,4.1181
0.25,1.7,0.1,14.386,-0.676543,14.4019,2.8958
0.5,1.7,0.1,8.88905,-0.423149,8.89912,2.25214
1,1.7,0.1,5.73367,-0.276078,5.74032,1.78746
0.05,1.8,0.1,48.8312,-2.20048,48.8808,5.43202
0.1,1.8,0.1,28.5389,-1.30525,28.5687,4.12482
0.25,1.8,0.1,14.4152,-0.67178,14.4308,2.89859
0.5,1.8,0.1,8.90082,-0.420582,8.91075,2.25352
1,1.8,0.1,5.73845,-0.274717,5.74502,1.78812
0.05,1.9,0.1,49.0798,-2.18409,49.1284,5.44369
0.1,1.9,0.1,28.6329,-1.29517,28.6621,4.1306
0.25,1.9,0.1,14.4426,-0.667072,14.458,2.90098
0.5,1.9,0.1,8.91183,-0.418046,8.92163,2.25476
1,1.9,0.1,5.74294,-0.273373,5.74944,1.78876
0.05,2,0.1,49.3084,-2.16803,49.356,5.45345
0.1,2,0.1,28.7192,-1.28537,28.748,4.13538
0.25,2,0.1,14.4679,-0.662518,14.483,2.90305
0.5,2,0.1,8.92207,-0.415597,8.93174,2.25585
1,2,0.1,5.74713,-0.272076,5.75357,1.78928
0.05,2.1,0.1,49.5198,-2.15201,49.5665,5.46238
0.1,2.1,0.1,28.7986,-1.27567,28.8268,4.13958
0.25,2.1,0.1,14.491,-0.658035,14.5059,2.9047
0.5,2.1,0.1,8.9314,-0.413192,8.94095,2.25666
1,2.1,0.1,5.75094,-0.270804,5.75731,1.7897
0.05,2.2,0.1,49.6687,-2.13445,49.7146,5.46878
0.1,2.2,0.1,28.8531,-1.26544,28.8809,4.14247
0.25,2.2,0.1,14.5065,-0.653414,14.5212,2.9058
0.5,2.2,0.1,8.93739,-0.410732,8.94683,2.25719
1,2.2,0.1,5.75325,-0.269506,5.75956,1.78994
0.05,2.3,0.1,49.8265,-2.12065,49.8716,5.47554
0.1,2.3,0.1,28.9131,-1.25711,28.9405,4.14568
0.25,2.3,0.1,14.5241,-0.649527,14.5386,2.90706
0.5,2.3,0.1,8.94447,-0.40863,8.9538,2.25781
1,2.3,0.1,5.75609,-0.268387,5.76235,1.79023
0.05,2.4,0.1,49.9814,-2.10578,50.0257,5.48215
0.1,2.4,0.1,28.9702,-1.24825,28.9971,4.14867
0.25,2.4,0.1,14.5405,-0.645472,14.5548,2.90821
0.5,2.4,0.1,8.95102,-0.40646,8.96024,2.25837
1,2.4,0.1,5.75871,-0.267239,5.7649,1.79049
0.05,2.5,0.1,50.1299,-2.09184,50.1735,5.48849
0.1,2.5,0.1,29.0253,-1.23991,29.0518,4.15166
0.25,2.5,0.1,14.5564,-0.641639,14.5706,2.90934
0.5,2.5,0.1,8.95739,-0.404405,8.96652,2.25893
1,2.5,0.1,5.76128,-0.266151,5.76742,1.79076
0.05,2.6,0.1,50.2643,-2.07811,50.3073,5.49471
0.1,2.6,0.1,29.0741,-1.23173,29.1002,4.15437
